codigo,ano,mes,ym,profundidade,nivel_piezo,rr,eto,caudal,rr_lag1,rr_lag2,eto_lag1,eto_lag2,caudal_lag1,caudal_lag2
365/1076,2023,10,2023-10-01,,,227.200002,2.8448387096774193,197.23193548387096,55.0000003,0.0,4.057333333333333,5.795806451612902,78.71900000000001,72.02387096774193
365/1076,2023,11,2023-11-01,,,125.0000014,1.4506666666666668,362.382,227.200002,55.0000003,2.8448387096774193,4.057333333333333,197.23193548387096,78.71900000000001
365/1076,2023,12,2023-12-01,,,53.100000300000005,1.1909677419354838,500.1416129032258,125.0000014,227.200002,1.4506666666666668,2.8448387096774193,362.382,197.23193548387096
365/1076,2024,1,2024-01-01,,,125.6000003,1.378064516129032,811.5654838709677,53.100000300000005,125.0000014,1.1909677419354838,1.4506666666666668,500.1416129032258,362.382
365/1076,2024,2,2024-02-01,,,78.4000013,1.9275862068965517,639.0437931034483,125.6000003,53.100000300000005,1.378064516129032,1.1909677419354838,811.5654838709677,500.1416129032258
365/1076,2024,3,2024-03-01,,,140.2000011,2.609677419354839,796.5616129032258,78.4000013,125.6000003,1.9275862068965517,1.378064516129032,639.0437931034483,811.5654838709677
365/1076,2024,4,2024-04-01,,,38.6000003,4.083,553.6610000000001,140.2000011,78.4000013,2.609677419354839,1.9275862068965517,796.5616129032258,639.0437931034483
365/1076,2024,5,2024-05-01,,,21.1,4.831612903225807,162.42032258064515,38.6000003,140.2000011,4.083,2.609677419354839,553.6610000000001,796.5616129032258
365/1076,2024,6,2024-06-01,,,21.4,5.4046666666666665,265.02933333333334,21.1,38.6000003,4.831612903225807,4.083,162.42032258064515,553.6610000000001
365/1076,2024,7,2024-07-01,,,,,300.47967741935486,21.4,21.1,5.4046666666666665,4.831612903225807,265.02933333333334,162.42032258064515
365/1076,2024,8,2024-08-01,,,,,219.8158064516129,,21.4,,5.4046666666666665,300.47967741935486,265.02933333333334
365/1076,2024,9,2024-09-01,,,,,161.85466666666667,,,,,219.8158064516129,300.47967741935486
365/1076,2024,10,2024-10-01,,,,,306.5641935483871,,,,,161.85466666666667,219.8158064516129
365/1076,2024,11,2024-11-01,,,,,203.998,,,,,306.5641935483871,161.85466666666667
365/1076,2024,12,2024-12-01,,,,,222.3890322580645,,,,,203.998,306.5641935483871
365/1076,2025,1,2025-01-01,,,,,459.9729032258064,,,,,222.3890322580645,203.998
365/1076,2025,2,2025-02-01,,,,,765.3314285714285,,,,,459.9729032258064,222.3890322580645
365/1076,2025,3,2025-03-01,,,,,902.1607692307692,,,,,765.3314285714285,459.9729032258064
365/233,2000,1,2000-01-01,,,23.2,1.3680645161290323,185.3029032258065,,,,,,
365/233,2000,2,2000-02-01,,,1.5,2.1220689655172413,90.41,23.2,,1.3680645161290323,,185.3029032258065,
365/233,2000,3,2000-03-01,,,22.3000004,3.228709677419355,66.97967741935483,1.5,23.2,2.1220689655172413,1.3680645161290323,90.41,185.3029032258065
365/233,2000,4,2000-04-01,,,142.9000006,2.8436666666666666,144.69500000000002,22.3000004,1.5,3.228709677419355,2.1220689655172413,66.97967741935483,90.41
